date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:47	116/116	---M--	200	added ('OK')	text/plain	date:Tue,%2029%20Jun%202021%2011:48:46%20GMT	https://redgranitesite.github.io/robots.txt		(from )
13:48:47	84222/84222	---MC-	200	added ('OK')	text/html	date:Tue,%2029%20Jun%202021%2011:48:47%20GMT	https://redgranitesite.github.io/	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/index.html	(from )
13:48:47	58171/58171	---M--	200	added ('OK')	text/css	etag:%22e33b-5bf567a917900%22	https://redgranitesite.github.io/wp-includes/css/dist/block-library/style.min.css?ver=5.7.2	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-includes/css/dist/block-library/style.min9f31.css	(from https://redgranitesite.github.io/)
13:48:49	636/636	---M--	200	added ('OK')	text/css	etag:%2227c-5c5a85f834bc7%22	https://redgranitesite.github.io/wp-content/plugins/wpdm-gutenberg-blocks/build/style.css?ver=5.7.2	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/wpdm-gutenberg-blocks/build/style9f31.css	(from https://redgranitesite.github.io/)
13:48:49	92542/92542	---M--	200	added ('OK')	text/css	etag:%221697e-5c5a85ed98cc6%22	https://redgranitesite.github.io/wp-content/plugins/stackable-ultimate-gutenberg-blocks/dist/frontend_blocks.css?ver=2.16.0	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/stackable-ultimate-gutenberg-blocks/dist/frontend_blocksc7d6.css	(from https://redgranitesite.github.io/)
13:48:51	1641/1641	---M--	200	added ('OK')	application/rss+xml	etag:%22cbfc3b654fc49a48832c02a76ddd1beb%22	https://redgranitesite.github.io/comments/feed/	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/comments/feed/index.html	(from https://redgranitesite.github.io/)
13:48:51	1900/1900	---M--	200	added ('OK')	application/rss+xml	etag:%227566179a635645056b94843d37b0071c%22	https://redgranitesite.github.io/feed/	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/feed/index.html	(from https://redgranitesite.github.io/)
13:48:51	57333/57333	---M--	200	added ('OK')	text/css	etag:%22dff5-5c5a85ea501db%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min.css?ver=5.7.2	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/fontawesome/css/all.min9f31.css	(from https://redgranitesite.github.io/)
13:48:53	57824/57824	---M--	200	added ('OK')	text/css	etag:%22e1e0-5c5a85ea23309%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.min.css?ver=5.7.2	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/bootstrap/css/bootstrap.min9f31.css	(from https://redgranitesite.github.io/)
13:48:55	66377/66377	---M--	200	added ('OK')	text/css	etag:%2210349-5c5a85ea26994%22	https://redgranitesite.github.io/wp-content/plugins/download-manager/assets/css/front.css?ver=5.7.2	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/download-manager/assets/css/front9f31.css	(from https://redgranitesite.github.io/)
13:48:57	8455/8455	---M--	200	added ('OK')	text/css	etag:%222107-5c5a85f38ef37%22	https://redgranitesite.github.io/wp-content/plugins/wp-job-manager/assets/dist/css/job-listings.css?ver=d866e43503c5e047c6b0be0a9557cf8e	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/plugins/wp-job-manager/assets/dist/css/job-listings9c8b.css	(from https://redgranitesite.github.io/)
13:48:57	121071/121071	---M--	200	added ('OK')	text/css	etag:%221d8ef-5c5a85fa5410a%22	https://redgranitesite.github.io/wp-content/themes/twentytwenty/style.css?ver=5.7.2	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/themes/twentytwenty/style9f31.css	(from https://redgranitesite.github.io/)
13:48:59	4254/4254	---M--	200	added ('OK')	text/css	etag:%22109e-5c5e62e585bfe%22	https://redgranitesite.github.io/wp-content/themes/twentytwenty-child/style.css?ver=1.0.0	C:/My%20Web%20Sites/http___redgranitesite.github.io/redgranitesite.github.io/wp-content/themes/twentytwenty-child/style8a54.css	(from https://redgranitesite.github.io/)
